order_id,order_date,customer_id,product_id,product_name,category,quantity,price,amount,payment_method,city,state,coupon_used,order_status
ORD2023010102327,2023-01-01,23281,1007,Portable SSD 1TB,Electronics,2,659.83,1319.66,UPI,Jaipur,Rajasthan,1,Shipped
ORD2023010102604,2023-01-01,52278,1039,Hair Dryer,Beauty,2,689.14,1378.28,UPI,Jaipur,Rajasthan,0,Delivered
ORD2023010102714,2023-01-01,75282,1016,Running Shoes,Clothing,2,353.84,707.68,NetBanking,Delhi,Delhi,1,Delivered
ORD2023010102902,2023-01-01,99170,1006,Mechanical Keyboard,Electronics,1,24657.88,24657.88,UPI,Noida,Uttar Pradesh,0,Delivered
ORD2023010102911,2023-01-01,36234,1048,Tennis Balls (Pack of 3),Sports,2,228.98,457.96,UPI,Surat,Gujarat,0,Delivered
ORD2023010103217,2023-01-01,94475,1036,Makeup Kit,Beauty,3,312.01,936.03,Credit Card,Nagpur,Maharashtra,1,Shipped
ORD2023010103626,2023-01-01,17804,1028,Electric Kettle,Home,1,6502.15,6502.15,UPI,Nagpur,Maharashtra,0,Delivered
ORD2023010104129,2023-01-01,74575,1044,Yoga Mat 6mm,Sports,1,1970.42,1970.42,COD,Dubai,UAE,0,Delivered
ORD2023010104151,2023-01-01,95823,1003,USB-C Charger,Electronics,2,1146.08,2292.16,COD,Lucknow,Uttar Pradesh,0,Delivered
ORD2023010104725,2023-01-01,89045,1010,Webcam 1080p,Electronics,1,15908.81,15908.81,UPI,Lucknow,Uttar Pradesh,0,Delivered
ORD2023010104776,2023-01-01,66305,1033,Shampoo Herbal,Beauty,1,2198.72,2198.72,NetBanking,Surat,Gujarat,0,Delivered
ORD2023010104978,2023-01-01,55564,1027,Pillow Set,Home,1,8054.19,8054.19,UPI,Bengaluru,Karnataka,0,Delivered
ORD2023010106754,2023-01-01,86097,1044,Yoga Mat 6mm,Sports,1,2150.09,2150.09,Credit Card,Pune,Maharashtra,1,Delivered
ORD2023010107007,2023-01-01,58073,1035,Sunscreen SPF50,Beauty,1,1048.61,1048.61,Credit Card,Hyderabad,Telangana,0,Delivered
ORD2023010107263,2023-01-01,57055,1039,Hair Dryer,Beauty,3,631.08,1893.24,UPI,Singapore,Singapore,1,Delivered
ORD2023010107582,2023-01-01,99288,1036,Makeup Kit,Beauty,1,298.33,298.33,NetBanking,Gurugram,Haryana,0,Delivered
ORD2023010107732,2023-01-01,43577,1003,USB-C Charger,Electronics,1,1167.3,1167.3,UPI,Nagpur,Maharashtra,0,Delivered
ORD2023010107795,2023-01-01,74926,1040,Lip Balm,Beauty,1,131.4,-131.4,Credit Card,Delhi,Delhi,1,Returned
ORD2023010108125,2023-01-01,14652,1013,Hoodie Unisex,Clothing,2,3502.03,7004.06,Credit Card,Lucknow,Uttar Pradesh,0,Shipped
ORD2023010108506,2023-01-01,12438,1013,Hoodie Unisex,Clothing,1,2900.43,0.0,NetBanking,Noida,Uttar Pradesh,1,Cancelled
